  Configurations: 840
  sell_pressure: 0.50 – 1.00 (step 0.10)
  base_spread: 0.10 – 0.30 (step 0.05)
  max_change: 0.50 – 2.00 (step 0.25)
  trend_dampening: 0.000 – 0.150 (step 0.050)
  Duration: 2016 ticks (7 days)
sell_pressure_multiplier,base_spread,max_price_change_percent,trend_dampening,avg_price_displacement_pct,avg_volatility,avg_final_bpd_pct,avg_final_spd_pct,final_gdp,final_debt,debt_gdp_ratio,total_tx,buy_ratio,stable,active_loans,defaulted_loans
  sp=1.00 bs=0.20 mc=2.00 td=0.100 | displacement=-65.3% buy_ratio=62.7% vol=0.0132
--- Least price displacement (closest to base) ---
  sp=0.50 bs=0.20 mc=0.50 td=0.150 | displacement=-30.8% buy_ratio=33.3% vol=0.0034 STABLE
  sp=0.50 bs=0.10 mc=0.50 td=0.100 | displacement=-32.7% buy_ratio=39.1% vol=0.0020 STABLE
  sp=0.60 bs=0.10 mc=0.50 td=0.150 | displacement=-34.3% buy_ratio=34.6% vol=0.0037 STABLE
  sp=0.50 bs=0.10 mc=1.00 td=0.100 | displacement=-34.8% buy_ratio=40.8% vol=0.0032 STABLE
  sp=0.50 bs=0.10 mc=0.50 td=0.050 | displacement=-35.0% buy_ratio=34.6% vol=0.0028 STABLE
--- Best buy ratios (balanced economy) ---
  sp=0.90 bs=0.20 mc=2.00 td=0.000 | buy_ratio=68.8% displacement=-52.4% vol=0.0138 STABLE
  sp=1.00 bs=0.30 mc=1.50 td=0.150 | buy_ratio=64.0% displacement=-51.4% vol=0.0136 STABLE
  sp=1.00 bs=0.15 mc=2.00 td=0.050 | buy_ratio=63.8% displacement=-59.3% vol=0.0088 STABLE
  sp=0.80 bs=0.30 mc=1.75 td=0.150 | buy_ratio=62.7% displacement=-54.7% vol=0.0082 STABLE
  sp=1.00 bs=0.20 mc=2.00 td=0.100 | buy_ratio=62.7% displacement=-65.3% vol=0.0132 STABLE
